No.,주문번호,상품명,상품번호,옵션명,"구	매	자",결제일자,주문상태,상품가격,건수,판매가격,결제수수료
1141,41471548230,[슬롯 스커트] 트임 스커트,286816525,size: s / color: 카키,"정	*	영",2015-04-14 16:54,구매확정,36000,1,36000,1386
1142,41471596760,[무스 원피스] 나시 원피스,287362888,,"김	*	연",2015-04-14 17:24,구매확정,58000,1,58000,2169
1143,41471614560,A테니스 스커트,287360970,color/size: 화이트M,"진	*	경",2015-04-14 17:36,구매확정,22000,1,22000,822
1144,41471614560,러프 블라우스,287361976,color: 네이비,"김	*	진",2015-04-14 17:36,구매확정,42000,1,42000,1570
1145,41471878580,물고기 티셔츠,283276397,color: 아이보리,"윤	*	은",2015-04-14 21:06,구매확정,29000,1,29000,1084
1146,41471878580,물고기 티셔츠,283276397,color: 블랙,"윤	*	은",2015-04-14 21:06,구매확정,29000,1,29000,1084
1147,41471970170,[무스 원피스] 나시 원피스,287362888,,"김	*	희",2015-04-14 22:05,취소,58000,1,58000,2169
1148,41472035060,리프 원피스,288320791,color: 블랙,"김	*	희",2015-04-14 22:43,구매확정,55000,1,55000,1944
1149,41572245220,스트라이프 기본남방,280203650,color: 네이비,"손	*	나",2015-04-15 1:21,구매확정,56000,1,56000,2156
1150,41572256360,[슬롯 스커트] 트임 스커트,286816525,size: s / color: 카키,"류	*	미",2015-04-15 1:38,구매확정,36000,1,36000,1386
1151,41572256360,크림 티셔츠,287024174,color: 소라,"조	*	연",2015-04-15 1:38,구매확정,32000,1,32000,1232
1152,41572256360,크림 티셔츠,287024174,color: 베이지,"조	*	연",2015-04-15 1:38,구매확정,32000,1,32000,1232
1153,41572264770,A테니스 스커트,287360970,color/size: 화이트S,"박	*	라",2015-04-15 1:54,구매확정,22000,1,22000,822
1154,41572386120,A테니스 스커트,287360970,color/size: 블랙M,"강	*	경",2015-04-15 8:46,구매확정,22000,1,22000,822
1155,41471250610,[무스 원피스] 나시 원피스,287362888,,"강	*	경",2015-04-15 9:24,반품,58000,1,58000,275
1156,41572544820,랑랑 스니커즈,287364813,color: 베이지 / size: 225,"강	*	경",2015-04-15 10:54,취소,52000,1,52000,2002
1157,41572678160,[슬롯 스커트] 트임 스커트,286816525,size: s / color: 진청,"장	*	리",2015-04-15 12:19,구매확정,36000,1,36000,1346
1158,41572805040,[무스 원피스] 나시 원피스,287362888,,"정	*	운",2015-04-15 13:41,구매확정,58000,1,58000,2233
1159,41572929250,A테니스 스커트,287360970,color/size: 화이트M,"전	*	혜",2015-04-15 14:54,구매확정,22000,1,22000,822
1160,41572971720,쉬폰 롱 가디건,289302615,color: 그레이,"최	*	연",2015-04-15 15:22,구매확정,69000,1,69000,2580
1161,41573022690,[무스 원피스] 나시 원피스,287362888,,"오	*	영",2015-04-15 15:49,구매확정,58000,1,58000,2233
1162,41573033230,[무스 원피스] 나시 원피스,287362888,,"이	*	희",2015-04-15 15:55,구매확정,58000,1,58000,2169
1163,41573260640,랑랑 스니커즈,287364813,color: 베이지 / size: 240,"손	*	정",2015-04-15 18:38,구매확정,52000,1,52000,1944
1164,41573260640,[무스 원피스] 나시 원피스,287362888,,"최	*	아",2015-04-15 18:38,구매확정,58000,1,58000,2169
1165,41573260640,기본 남방,274611691,,"임	*	아",2015-04-15 18:38,구매확정,40000,1,40000,1496
1166,41066714460,토트 미니크로스백,279723061,color: 실버,"이	*	정",2015-04-15 18:41,구매확정,42000,1,42000,275
1167,41573293550,[슬롯 스커트] 트임 스커트,286816525,size: s / color: 카키,"박	*	식",2015-04-15 19:02,구매확정,36000,1,36000,1386
1168,41573351690,A테니스 스커트,287360970,color/size: 화이트M,"임	*	현",2015-04-15 20:00,구매확정,22000,1,22000,844
1169,41573353800,[무스 원피스] 나시 원피스,287362888,,"기	*	인",2015-04-15 20:02,구매확정,58000,1,58000,2169
1170,41573366990,[슬롯 스커트] 트임 스커트,286816525,size: s / color: 카키,"기	*	인",2015-04-15 20:14,취소,36000,1,36000,1346
1171,41573366990,생지 스키니,272989649,size: 26,"기	*	인",2015-04-15 20:14,구매확정,33000,1,33000,1234
1172,41573366990,[슬롯 스커트] 트임 스커트,286816525,size: s / color: 진청,"JI	*	ANGYAN",2015-04-15 20:14,구매확정,36000,1,36000,1346
1173,41573377790,[무스 원피스] 나시 원피스,287362888,,"서	*	롱",2015-04-15 20:27,구매확정,58000,1,58000,275
1174,41573377790,쿠크 투웨이백,288793455,color: 블랙,"이	*	은",2015-04-15 20:27,구매확정,62000,1,62000,275
1175,41573403000,[무스 원피스] 나시 원피스,287362888,,"이	*	민",2015-04-15 20:49,구매확정,58000,1,58000,275
1176,41573437100,쟈가드 자켓,275180418,color: F,"이	*	민",2015-04-15 21:13,구매확정,81000,1,81000,3029
1177,41573437100,A테니스 스커트,287360970,color/size: 화이트S,"이	*	민",2015-04-15 21:13,취소,22000,1,22000,822
1178,41573447030,슬림 슬랙스,273125800,color: 블랙 / size: S,"김	*	정",2015-04-15 21:21,구매확정,35000,1,35000,1309
1179,41573447030,쟈가드 자켓,275180418,color: F,"김	*	정",2015-04-15 21:21,구매확정,81000,1,81000,3029
1180,41573561780,[무스 원피스] 나시 원피스,287362888,,"김	*	하",2015-04-15 22:37,구매확정,58000,1,58000,2168
1181,41573599890,[워싱 스키니] 청 스키니,276034220,size: 28,"김	*	주",2015-04-15 23:01,구매확정,38000,1,38000,1421
1182,41573107200,[슬롯 스커트] 트임 스커트,286816525,size: s / color: 카키,"김	*	주",2015-04-15 23:06,구매확정,36000,1,36000,275
1183,41673795910,토트 미니크로스백,279723061,color: 블랙,"이	*	연",2015-04-16 2:00,구매확정,42000,1,42000,275
1184,41673832420,[무스 원피스] 나시 원피스,287362888,,"이	*	연",2015-04-16 4:02,반품,58000,1,58000,275
1185,41673904990,딥 워싱진,289257392,size: M,"김	*	숙",2015-04-16 8:38,구매확정,40000,1,40000,1496
1186,41673916310,딥 워싱진,289257392,size: S,"노	*	희",2015-04-16 8:53,취소,40000,1,40000,1540
1187,41673935330,슬림 슬랙스,273125800,color: 블랙 / size: S,"강	*	경",2015-04-16 9:17,구매확정,35000,1,35000,1309
1188,41674111150,[무스 원피스] 나시 원피스,287362888,,"조	*	주",2015-04-16 11:27,구매확정,58000,1,58000,2169
1189,41573128460,랑랑 스니커즈,287364813,color: 베이지 / size: 245,"최	*	혜",2015-04-16 13:13,구매확정,52000,1,52000,275
1190,41674454880,심플 토드백,285588282,color: 베이지,"하	*	미",2015-04-16 15:05,구매확정,44000,1,44000,1645
1191,41674562740,[블라썸 가디건] 숄 가디건,288791682,color: 핑크,"윤	*	경",2015-04-16 16:10,구매확정,33000,1,33000,1009
1192,41674562740,A테니스 스커트,287360970,color/size: 화이트S,"백	*	화",2015-04-16 16:10,구매확정,22000,1,22000,822
1193,41674723470,리프 원피스,288320791,color: 블랙,"강	*	연",2015-04-16 18:06,구매확정,55000,1,55000,2057
1194,41673874170,[슬롯 스커트] 트임 스커트,286816525,size: m / color: 카키,"김	*	름",2015-04-16 19:02,구매확정,36000,1,36000,275
1195,41674857750,요니 OPS,288639260,color: 아이보리,"박	*	희",2015-04-16 20:17,구매확정,42000,1,42000,1570
1196,41674891130,A테니스 스커트,287360970,color/size: 블랙M,"박	*	희",2015-04-16 20:48,반품,22000,1,22000,822
1197,41573223870,A테니스 스커트,287360970,color/size: 화이트S,"함	*	은",2015-04-16 21:43,구매확정,22000,1,22000,203
1198,41775185330,쉬폰 롱 가디건,289302615,color: 그레이,"정	*	교",2015-04-17 0:40,구매확정,69000,1,69000,2580
1199,41775188380,[블랑 원피스] 플라워 원피스,282156336,colors: 핑크,"오	*	진",2015-04-17 0:44,구매확정,62000,1,62000,2387
1200,41775270730,리프 원피스,288320791,color: 아이보리,"윤	*	원",2015-04-17 4:04,취소,55000,1,55000,2056
1201,41775352210,리프 원피스,288320791,color: 블랙,"이	*	희",2015-04-17 8:59,구매확정,55000,1,55000,2117
1202,41775386180,리프 원피스,288320791,color: 블랙,"신	*	정",2015-04-17 9:39,구매확정,55000,1,55000,2117
1203,41775442200,A테니스 스커트,287360970,color/size: 화이트S,"이	*	호",2015-04-17 10:28,구매확정,22000,1,22000,822
1204,41775571550,A테니스 스커트,287360970,color/size: 화이트S,"정	*	혜",2015-04-17 12:07,구매확정,22000,1,22000,822
1205,41775571550,A테니스 스커트,287360970,color/size: 블랙S,"정	*	은",2015-04-17 12:07,구매확정,22000,1,22000,822
1206,41775656950,[무스 원피스] 나시 원피스,287362888,,"정	*	미",2015-04-17 13:23,구매확정,58000,1,58000,2169
1207,41775708270,[무스 원피스] 나시 원피스,287362888,,"이	*	미",2015-04-17 13:58,반품,58000,1,58000,2169
1208,41775801960,[블랑 원피스] 플라워 원피스,282156336,colors: 핑크,"이	*	미",2015-04-17 15:07,구매확정,62000,1,62000,2318
1209,41775866780,쇼트 데님팬츠,288640664,size: m,"김	*	지",2015-04-17 15:57,구매확정,36000,1,36000,1346
1210,41776115680,A테니스 스커트,287360970,color/size: 네이비S,"이	*	화",2015-04-17 20:30,구매확정,22000,1,22000,220
1211,41776238980,리프 원피스,288320791,color: 블랙,"이	*	아",2015-04-17 22:49,구매확정,55000,1,55000,2056
1212,41876316400,[레블리 원피스] 레이스 원피스,284786325,color: 아이보리,"장	*	선",2015-04-18 0:20,구매확정,64000,1,64000,2393
1213,41876316400,샌드 원피스,281939842,color: 그레이,"신	*	정",2015-04-18 0:20,구매확정,49000,1,49000,1832
1214,41876330990,[무스 원피스] 나시 원피스,287362888,,"전	*	복",2015-04-18 0:44,구매확정,58000,1,58000,2169
1215,41876428970,[슬롯 스커트] 트임 스커트,286816525,size: s / color: 진청,"이	*	원",2015-04-18 8:05,구매확정,36000,1,36000,1386
1216,41572196930,[슬롯 스커트] 트임 스커트,286816525,size: s / color: 카키,"김	*	영",2015-04-18 8:06,구매확정,36000,1,36000,275
1217,41572196930,[슬롯 스커트] 트임 스커트,286816525,size: s / color: 진청,"김	*	영",2015-04-18 8:06,구매확정,36000,1,36000,275
1218,41876483030,[슬롯 스커트] 트임 스커트,286816525,size: m / color: 진청,"김	*	정",2015-04-18 10:00,구매확정,36000,1,36000,1345
1219,41876483030,크림 티셔츠,287024174,color: 아이보리,"나	*	미",2015-04-18 10:00,구매확정,32000,1,32000,1196
1220,41876535570,A테니스 스커트,287360970,color/size: 블랙M,"이	*	혜",2015-04-18 11:16,구매확정,22000,1,22000,847
1221,41876766050,A테니스 스커트,287360970,color/size: 블랙M,"이	*	혜",2015-04-18 16:30,구매확정,22000,1,22000,822
1222,41876626310,[슬롯 스커트] 트임 스커트,286816525,size: s / color: 진청,"김	*	지",2015-04-18 18:59,구매확정,36000,1,36000,275
1223,41877059220,가죽 팔찌,291110900,color: 블랙,"최	*	욱",2015-04-18 22:39,구매확정,12000,1,12000,448
1224,41977177160,가죽 팔찌,291110900,color: 블랙,"동	*	란",2015-04-19 0:47,구매확정,12000,1,12000,448
1225,41977177160,A테니스 스커트,287360970,color/size: 화이트M,"윤	*	아",2015-04-19 0:47,구매확정,22000,1,22000,822
1226,41877048100,토트 미니크로스백,279723061,color: 블랙,"민	*	혜",2015-04-19 10:19,구매확정,42000,1,42000,275
1227,41977335950,리프 원피스,288320791,color: 블랙,"김	*	리",2015-04-19 10:23,구매확정,55000,1,55000,275
1228,41977434280,[무스 원피스] 나시 원피스,287362888,,"최	*	정",2015-04-19 12:30,구매확정,58000,1,58000,2169
1229,41877014530,실키 가디건,289259091,color: 그레이,"최	*	정",2015-04-19 13:24,구매확정,33000,1,33000,275
1230,41977627880,[무스 원피스] 나시 원피스,287362888,,"서	*	진",2015-04-19 15:56,구매확정,58000,1,58000,2169
1231,41775257770,물고기 티셔츠,283276397,color: 아이보리,"김	*	영",2015-04-20 10:38,구매확정,29000,1,29000,292
1232,42078692500,A테니스 스커트,287360970,color/size: 화이트M,"주	*	현",2015-04-20 10:53,구매확정,22000,1,22000,822
1233,42078779250,[슬롯 스커트] 트임 스커트,286816525,size: s / color: 진청,"김	*	지",2015-04-20 11:42,구매확정,36000,1,36000,1346
1234,42078937120,A테니스 스커트,287360970,color/size: 화이트S,"김	*	선",2015-04-20 13:15,구매확정,22000,1,22000,822
1235,42078966550,메리미 자켓,286165422,color: 네이비,"주	*	정",2015-04-20 13:30,구매확정,88000,1,88000,2842
1236,42078966550,[슬롯 스커트] 트임 스커트,286816525,size: m / color: 카키,"안	*	연",2015-04-20 13:30,구매확정,36000,1,36000,1346
1237,42079037380,스트라이프 기본남방,280203650,color: 네이비,"안	*	연",2015-04-20 14:07,구매확정,56000,1,56000,2094
1238,42079243190,메리미 자켓,286165422,color: 베이지,"박	*	은",2015-04-20 15:58,구매확정,88000,1,88000,2954
1239,42079275990,르망 원피스,291095710,color: 네이비,"박	*	은",2015-04-20 16:18,구매확정,55000,1,55000,2117
1240,42079749220,스트라이프 기본남방,280203650,color: 네이비,"장	*	희",2015-04-20 22:00,구매확정,56000,1,56000,1982
1241,42079865650,르망 원피스,291095710,color: 핑크,"장	*	희",2015-04-20 23:11,구매확정,55000,1,55000,2056
1242,42180316780,스트라이프 기본남방,280203650,color: 네이비,"이	*	주",2015-04-21 10:40,구매확정,56000,1,56000,2156
1243,42180394930,페인팅 원피스,282995104,color: 블루,"장	*	슬",2015-04-21 11:29,구매확정,69000,1,69000,2580
1244,42180435450,레나 스커트,291420694,color: 네이비,"이	*	실",2015-04-21 11:57,구매확정,36000,1,36000,275
1245,42180574620,A테니스 스커트,287360970,color/size: 네이비S,"편	*	진",2015-04-21 13:25,구매확정,22000,1,22000,822
1246,42180749050,르망 원피스,291095710,color: 네이비,"최	*	지",2015-04-21 15:46,반품,55000,1,55000,275
1247,41775850950,[슬롯 스커트] 트임 스커트,286816525,size: m / color: 카키,"고	*	준",2015-04-21 17:19,반품,36000,1,36000,275
1248,42181054800,A테니스 스커트,287360970,color/size: 블랙M,"김	*	애",2015-04-21 18:29,구매확정,22000,1,22000,822
1249,42181142950,딥 워싱진,289257392,size: M,"전	*	미",2015-04-21 19:51,구매확정,40000,1,40000,1496
1250,42181262370,심플 토드백,285588282,color: 흰색,"박	*	솔",2015-04-21 21:30,구매확정,44000,1,44000,1645
1251,42181299450,쿠크 투웨이백,288793455,color: 그레이,"임	*	정",2015-04-21 21:56,반품,62000,1,62000,2318
1252,42181404640,[무스 원피스] 나시 원피스,287362888,,"정	*	정",2015-04-21 23:02,구매확정,58000,1,58000,2169
1253,42281765150,리프 원피스,288320791,color: 블랙,"이	*	희",2015-04-22 9:28,구매확정,55000,1,55000,2057
1254,42282162260,[러빙 원피스] 플라워 원피스,287025181,color: 소라,"PI	*	XIONGJ",2015-04-22 13:51,구매확정,64000,1,64000,275
1255,42282597050,애플 스커트,292067797,size: m,"전	*	진",2015-04-22 18:34,구매확정,40000,1,40000,1496
1256,42282697580,[무스 원피스] 나시 원피스,287362888,,"김	*	형",2015-04-22 20:14,구매확정,58000,1,58000,2169
1257,42383120780,크림 티셔츠,287024174,color: 아이보리,"김	*	진",2015-04-23 2:25,구매확정,32000,1,32000,1196
1258,42383223220,단가라 크롭티셔츠,278157856,color: 블랙,"김	*	진",2015-04-23 8:40,구매확정,32000,1,32000,1196
1259,42384340990,기본 남방,274611691,,"신	*	성",2015-04-23 23:32,구매확정,40000,1,40000,1496
1260,42384340990,[무스 원피스] 나시 원피스,287362888,,"신	*	성",2015-04-23 23:32,구매확정,58000,1,58000,2169
1261,42484423270,A테니스 스커트,287360970,color/size: 블랙S,"한	*	영",2015-04-24 1:00,구매확정,22000,1,22000,822
1262,42484429050,[슬롯 스커트] 트임 스커트,286816525,size: m / color: 카키,"민	*	슬",2015-04-24 1:06,구매확정,36000,1,36000,1346
1263,42484848900,A테니스 스커트,287360970,color/size: 화이트S,"유	*	나",2015-04-24 13:08,구매확정,22000,1,22000,822
1264,42484848900,A테니스 스커트,287360970,color/size: 블랙S,"유	*	나",2015-04-24 13:08,구매확정,22000,1,22000,822
1265,42485379230,슬림 슬랙스,273125800,color: 블랙 / size: M,"전	*	현",2015-04-24 21:39,구매확정,35000,1,35000,1309
1266,42485448040,슬림 슬랙스,273125800,color: 블랙 / size: S,"강	*	순",2015-04-24 22:57,구매확정,35000,1,35000,1309
1267,42585582370,[슬롯 스커트] 트임 스커트,286816525,size: s / color: 카키,"맹	*	은",2015-04-25 10:18,구매확정,36000,1,36000,275
1268,42686591880,A테니스 스커트,287360970,color/size: 화이트M,"김	*	름",2015-04-26 11:55,취소,22000,1,22000,710
1269,42686603880,A테니스 스커트,287360970,color/size: 화이트S,"김	*	름",2015-04-26 12:09,구매확정,22000,1,22000,710
1270,42686916880,[슬롯 스커트] 트임 스커트,286816525,size: m / color: 진청,"손	*	의",2015-04-26 18:07,구매확정,36000,1,36000,275
1271,42686963310,[슬롯 스커트] 트임 스커트,286816525,size: s / color: 카키,"최	*	희",2015-04-26 18:58,구매확정,36000,1,36000,1386
1272,42686963310,A테니스 스커트,287360970,color/size: 블랙S,"최	*	희",2015-04-26 18:58,구매확정,22000,1,22000,847
1273,42687229460,A테니스 스커트,287360970,color/size: 화이트S,"이	*	희",2015-04-26 22:09,구매확정,22000,1,22000,822
1274,42687206760,스퀘어 가죽시계,292067059,color: red,"이	*	희",2015-04-26 22:13,구매확정,33000,1,33000,275
1275,42687206760,배색 린넨가디건,292715323,color: 아이보리,"우	*	현",2015-04-26 22:13,구매확정,29000,1,29000,275
1276,42687361360,[슬롯 스커트] 트임 스커트,286816525,size: m / color: 카키,"이	*	원",2015-04-26 23:15,반품,36000,1,36000,1346
1277,42687397580,엘리 원피스,292444677,color: 화이트,"이	*	비",2015-04-26 23:35,구매확정,58000,1,58000,2168
1278,42787569870,러프 블라우스,287361976,color: 아이보리,"전	*	림",2015-04-27 2:38,구매확정,42000,1,42000,1617
1279,42787569870,[슬롯 스커트] 트임 스커트,286816525,size: s / color: 카키,"전	*	림",2015-04-27 2:38,구매확정,36000,1,36000,1386
1280,42787569870,[슬롯 스커트] 트임 스커트,286816525,size: m / color: 진청,"전	*	림",2015-04-27 2:38,취소,36000,1,36000,1386
1281,42787649880,[슬롯 스커트] 트임 스커트,286816525,size: s / color: 진청,"전	*	림",2015-04-27 8:09,구매확정,36000,1,36000,1345
1282,42787925390,배색 린넨가디건,292715323,color: 아이보리,"김	*	지",2015-04-27 11:29,구매확정,29000,1,29000,275
1283,42788032620,A테니스 스커트,287360970,color/size: 화이트M,"박	*	순",2015-04-27 12:27,반품,22000,1,22000,220
1284,42788046720,[슬롯 스커트] 트임 스커트,286816525,size: s / color: 카키,"송	*	나",2015-04-27 12:36,취소,36000,1,36000,1234
1285,42788105040,러프 블라우스,287361976,color: 아이보리,"박	*	림",2015-04-27 13:07,구매확정,42000,1,42000,1570
1286,42788105040,[스노우 원피스] 도트 원피스 / 땡땡이 원피스,277626325,color: 블랙,"서	*	미",2015-04-27 13:07,반품,64000,1,64000,2393
1287,42788105040,[슬롯 스커트] 트임 스커트,286816525,size: m / color: 진청,"서	*	미",2015-04-27 13:07,반품,36000,1,36000,1346
1288,42788205870,언레드 티셔츠,288320162,color: 블랙,"서	*	미",2015-04-27 13:57,구매확정,38000,1,38000,275
1289,42788236770,[슬롯 스커트] 트임 스커트,286816525,size: m / color: 카키,"구	*	회",2015-04-27 14:12,구매확정,36000,1,36000,1346
1290,42788933270,[배색 린넨가디건] 숏 가디건,292715323,color: 네이비,"김	*	지",2015-04-27 21:45,구매확정,29000,1,29000,275
1291,42889234830,샤인 티셔츠,290848688,color: 그레이,"백	*	아",2015-04-28 0:40,구매확정,33000,1,33000,1234
1292,42889234830,시스루 단가라티,291771071,color: 네이비,"강	*	리",2015-04-28 0:40,구매확정,25000,1,25000,935
1293,42889234830,크림 티셔츠,287024174,color: 소라,"강	*	리",2015-04-28 0:40,구매확정,32000,1,32000,1196
1294,42889234830,[슬롯 스커트] 트임 스커트,286816525,size: s / color: 카키,"강	*	리",2015-04-28 0:40,구매확정,36000,1,36000,1346
1295,42889376990,애플 스커트,292067797,size: s,"강	*	리",2015-04-28 7:29,구매확정,40000,1,40000,1383
1296,42889431010,패턴 원피스,278017061,color: 핑크,"이	*	운",2015-04-28 8:50,구매확정,67000,1,67000,2505
1297,42889964410,시보리 니트,278629433,color: 소라,"김	*	선",2015-04-28 14:11,취소,55000,1,55000,2057
1298,42890113130,베니 백,289301373,color: 블랙,"김	*	은",2015-04-28 15:33,구매확정,58000,1,58000,2231
1299,42890357480,[라이트 스키니진] 청 스키니,278040157,size: M,"박	*	순",2015-04-28 18:06,구매확정,47000,1,47000,275
1300,42890357480,레터 티셔츠,278353110,color: 카키,"김	*	선",2015-04-28 18:06,구매확정,32000,1,32000,275
1301,42890423180,마임 슬랙스,290849208,color: 핑크 / size: M,"김	*	선",2015-04-28 18:55,구매확정,49000,1,49000,1832
1302,42890718390,주름 롱원피스,293078575,color: 카키,"김	*	혜",2015-04-28 22:33,구매확정,65000,1,65000,2431
1303,42890747290,[배색 나시원피스] 민소매 원피스 / 니트 원피스,292714664,color: 베이지,"정	*	화",2015-04-28 22:49,구매확정,33000,1,33000,1122
1304,42890747290,[배색 린넨가디건] 숏 가디건,292715323,color: 아이보리,"성	*	리",2015-04-28 22:49,구매확정,29000,1,29000,1084
1305,42991442660,슬림 슬랙스,273125800,color: 블랙 / size: M,"성	*	리",2015-04-29 12:30,취소,35000,1,35000,1347
1306,42991648730,A테니스 스커트,287360970,color/size: 화이트S,"안	*	인",2015-04-29 14:25,구매확정,22000,1,22000,822
1307,42991739310,[슬롯 스커트] 트임 스커트,286816525,size: s / color: 카키,"백	*	솔",2015-04-29 15:17,구매확정,36000,1,36000,1346
1308,42992183090,[슬롯 스커트] 트임 스커트,286816525,size: m / color: 카키,"박	*	은",2015-04-29 20:57,취소,36000,1,36000,1345
1309,42992402390,[슬롯 스커트] 트임 스커트,286816525,size: s / color: 카키,"소	*	영",2015-04-29 23:34,구매확정,36000,1,36000,1346
1310,42992404820,[슬롯 스커트] 트임 스커트,286816525,size: m / color: 카키,"이	*	정",2015-04-29 23:41,구매확정,36000,1,36000,1346
1311,42787569870,[슬롯 스커트] 트임 스커트,286816525,size: m / color: 진청,"주	*	미",2015-04-27 2:38,취소,-36000,1,-36000,-1386
1312,42992181860,[슬롯 스커트] 트임 스커트,286816525,size: s / color: 카키,"최	*	영",2015-04-30 8:57,구매확정,36000,1,36000,275
1313,43092652890,[슬롯 스커트] 트임 스커트,286816525,size: m / color: 카키,"강	*	정",2015-04-30 9:03,반품,36000,1,36000,1233
1314,42992314940,[슬롯 스커트] 트임 스커트,286816525,size: m / color: 카키,"권	*	화",2015-04-30 10:30,구매확정,36000,1,36000,275
1315,42992396740,[블라썸 가디건] 숄 가디건,288791682,color: 블랙,"이	*	정",2015-04-30 10:34,구매확정,33000,1,33000,270
1316,50193702590,러프 블라우스,287361976,color: 아이보리,"김	*	현",2015-05-01 0:13,구매확정,42000,1,42000,1500
1317,50294874810,시스루 단가라티,291771071,color: 네이비,"석	*	선",2015-05-02 3:02,구매확정,25000,1,25000,935
1318,50294874810,프렌 티셔츠,293247883,color: 소라,"석	*	선",2015-05-02 3:02,취소,27000,1,27000,1009
1319,50295028390,러프 블라우스,287361976,color: 네이비,"한	*	희",2015-05-02 11:08,구매확정,42000,1,42000,1570
1320,50295292680,[슬롯 스커트] 트임 스커트,286816525,size: m / color: 진청,"홍	*	진",2015-05-02 19:17,구매확정,36000,1,36000,275
1321,50295538140,[배색 나시원피스] 민소매 원피스 / 니트 원피스,292714664,color: 베이지,"배	*	지",2015-05-02 21:51,구매확정,33000,1,33000,1121
1322,50295669100,크림 티셔츠,287024174,color: 아이보리,"김	*	지",2015-05-02 23:55,구매확정,32000,1,32000,1195
1323,50396145100,[블라썸 가디건] 숄 가디건,288791682,color: 핑크,"전	*	영",2015-05-03 15:38,취소,33000,1,33000,1009
1324,50396145100,[블라썸 가디건] 숄 가디건,288791682,color: 하늘,"이	*	리",2015-05-03 15:38,구매확정,33000,1,33000,1009
1325,50396145100,하이 원피스,293975841,color: 핑크,"이	*	리",2015-05-03 15:38,구매확정,44000,1,44000,1533
1326,50396527660,넘버원 티셔츠,285300813,color: 블랙,"이	*	리",2015-05-03 21:30,취소,36000,1,36000,1346
1327,50496916120,[슬롯 스커트] 트임 스커트,286816525,size: s / color: 카키,"이	*	미",2015-05-04 2:28,구매확정,36000,1,36000,1346
1328,50497043680,르망 원피스,291095710,color: 네이비,"김	*	숙",2015-05-04 9:14,구매확정,55000,1,55000,2056
1329,50497087240,르망 원피스,291095710,color: 네이비,"금	*	경",2015-05-04 9:53,구매확정,55000,1,55000,2057
1330,50497099140,르망 원피스,291095710,color: 핑크,"유	*	연",2015-05-04 10:00,반품,55000,1,55000,2057
1331,50497107720,르망 원피스,291095710,color: 핑크,"양	*	라",2015-05-04 10:06,취소,55000,1,55000,2117
1332,50497150850,비비 나시,293749974,color: 아이보리,"권	*	정",2015-05-04 10:38,구매확정,33000,1,33000,1122
1333,50497150850,비비 나시,293749974,color: 블랙,"권	*	정",2015-05-04 10:38,구매확정,33000,1,33000,1234
1334,50497206910,르망 원피스,291095710,color: 핑크,"김	*	영",2015-05-04 11:13,구매확정,55000,1,55000,2116
1335,50497335080,르망 원피스,291095710,color: 네이비,"오	*	희",2015-05-04 12:41,구매확정,55000,1,55000,2057
1336,50497335080,르망 원피스,291095710,color: 베이지,"오	*	희",2015-05-04 12:41,취소,55000,1,55000,2057
1337,50497507950,르망 원피스,291095710,color: 네이비,"전	*	혜",2015-05-04 14:28,취소,55000,1,55000,2117
1338,50497540190,르망 원피스,291095710,color: 핑크,"오	*	진",2015-05-04 14:50,구매확정,55000,1,55000,2117
1339,50497743810,르망 원피스,291095710,color: 핑크,"이	*	미",2015-05-04 17:07,반품,55000,1,55000,275
1340,50498078140,토크 샌들,293248965,color: 실버 / size: 235,"노	*	민",2015-05-04 21:58,구매확정,39000,1,39000,1346
1341,50498078140,A테니스 스커트,287360970,color/size: 화이트S,"노	*	민",2015-05-04 21:58,구매확정,22000,1,22000,822
1342,50498113930,르망 원피스,291095710,color: 핑크,"최	*	리",2015-05-04 22:26,구매확정,55000,1,55000,2057
1343,50498146560,크림 티셔츠,287024174,color: 소라,"금	*	경",2015-05-04 22:51,구매확정,32000,1,32000,1232
1344,50498146560,[슬롯 스커트] 트임 스커트,286816525,size: m / color: 카키,"금	*	경",2015-05-04 22:51,구매확정,36000,1,36000,1386
1345,50598330270,주름 롱원피스,293078575,color: 카키,"김	*	나",2015-05-05 10:16,구매확정,65000,1,65000,275
1346,50598521350,르망 원피스,291095710,color: 네이비,"김	*	은",2015-05-05 11:09,취소,55000,1,55000,2057
1347,50598686880,쇼트 데님팬츠,288640664,size: m,"나	*	정",2015-05-05 14:04,구매확정,36000,1,36000,1386
1348,50598705310,A테니스 스커트,287360970,color/size: 화이트S,"홍	*	경",2015-05-05 14:23,구매확정,22000,1,22000,822
1349,50598705310,슬라브 7부티,289256367,color: 베이지,"홍	*	경",2015-05-05 14:23,구매확정,22000,1,22000,822
1350,50599280290,스트라이프 기본남방,280203650,color: 네이비,"김	*	현",2015-05-05 22:12,구매확정,56000,1,56000,2094
1351,50699607630,르망 원피스,291095710,color: 베이지,"이	*	수",2015-05-06 1:49,구매확정,55000,1,55000,2057
1352,50699939510,[슬롯 스커트] 트임 스커트,286816525,size: m / color: 진청,"김	*	현",2015-05-06 11:03,구매확정,36000,1,36000,1346
1353,50610168690,르망 원피스,291095710,color: 핑크,"박	*	비나",2015-05-06 13:15,구매확정,55000,1,55000,275
1354,50610598470,하이 원피스,293975841,color: 블랙,"최	*	미",2015-05-06 17:03,반품,44000,1,44000,1645
