No.,주문번호,상품명,상품번호,옵션명,"구	매	자",결제일자,주문상태,상품가격,건수,판매가격,결제수수료
53,20171172680,에나멜 슬립온,274299515,color: 와인 / size: 235,"손	*	은",2015-02-01 5:55,구매확정,48000,1,48000,1848
54,20171253500,플라워 OPS,272988024,color: 네이비,"조	*	라",2015-02-01 10:55,구매확정,73000,1,73000,2730
55,20171583100,패턴 블라우스,273199995,color: 네이비,"손	*	진",2015-02-01 17:57,구매확정,49000,1,49000,1832
56,20171859900,파스텔 코트,274029967,color: 핑크,"신	*	빈",2015-02-01 22:11,구매확정,79000,1,79000,3040
57,20171922210,패턴 블라우스,273199995,color: 네이비,"조	*	빈",2015-02-01 22:52,구매확정,49000,1,49000,1832
58,20272082300,프릴 원피스,273851370,,"염	*	영",2015-02-02 1:03,구매확정,49000,1,49000,1886
59,20272096570,생지배기 PT,272986231,size: M,"최	*	영",2015-02-02 1:23,구매확정,58000,1,58000,2169
60,20272096570,땡땡이 자켓,274036467,color: 그레이,"구	*	정",2015-02-02 1:23,구매확정,83000,1,83000,3104
61,20272312340,슬림 슬랙스,273125800,color: 블랙 / size: S,"최	*	윤",2015-02-02 10:38,취소,35000,1,35000,1309
62,20272312340,패턴 블라우스,273199995,color: 네이비,"최	*	윤",2015-02-02 10:38,구매확정,49000,1,49000,1832
63,20272405540,패턴 블라우스,273199995,color: 네이비,"최	*	슬",2015-02-02 11:45,구매확정,49000,1,49000,275
64,20171513340,하이넥CT,267524880,color: 아이보리,"최	*	슬",2015-02-02 18:47,구매확정,153000,1,153000,275
65,20273129050,패턴 블라우스,273199995,color: 네이비,"강	*	연",2015-02-02 20:41,취소,49000,1,49000,1886
66,20373544210,패턴 블라우스,273199995,color: 네이비,"이	*	롬",2015-02-03 6:53,구매확정,49000,1,49000,1886
67,20373751510,패턴 블라우스,273199995,color: 네이비,"남	*	진",2015-02-03 11:56,구매확정,49000,1,49000,275
68,20373862820,패턴 블라우스,273199995,color: 네이비,"이	*	경",2015-02-03 12:54,구매확정,49000,1,49000,1832
69,20374095290,에나멜 슬립온,274299515,color: 블랙 / size: 235,"임	*	애",2015-02-03 15:33,구매확정,48000,1,48000,1848
70,20374320600,심플핏 코트,275446643,color: 베이지,"박	*	경",2015-02-03 18:34,구매확정,62000,1,62000,2318
71,20374689100,패턴 블라우스,273199995,color: 네이비,"김	*	주",2015-02-03 23:49,구매확정,49000,1,49000,1832
72,20475103720,패턴 블라우스,273199995,color: 네이비,"최	*	슬",2015-02-04 11:59,반품,49000,1,49000,1886
73,20475083700,쟈가드 자켓,275180418,color: 초록,"임	*	영",2015-02-04 12:07,구매확정,90000,1,90000,275
74,20475165630,폴인 가디건,274292797,color: 베이지,"박	*	희",2015-02-04 12:53,구매확정,91000,1,91000,275
75,20475806020,폴인 가디건,274292797,color: 베이지,"박	*	란",2015-02-04 21:18,구매확정,91000,1,91000,3402
76,20576087980,쟈가드 자켓,275180418,color: 초록,"홍	*	경",2015-02-05 1:31,구매확정,90000,1,90000,3365
77,20576516050,슬림 슬랙스,273125800,color: 블랙 / size: M,"박	*	희",2015-02-05 13:24,구매확정,35000,1,35000,275
78,20577192610,로리 원피스,276469460,color: 소라,"이	*	우",2015-02-05 22:51,구매확정,58000,1,58000,2169
79,20677344150,로리 원피스,276469460,color: 소라,"이	*	은",2015-02-06 16:09,반품,58000,1,58000,275
80,13069539120,스프링조끼,273609743,,"장	*	선",2015-02-06 18:04,취소,48000,1,48000,275
81,20778392690,워싱 스키니,276034220,size: 27,"김	*	자",2015-02-07 3:33,구매확정,38000,1,38000,275
82,20778440980,패턴 블라우스,273199995,color: 네이비,"송	*	나",2015-02-07 9:12,구매확정,49000,1,49000,1832
83,20778501640,체크 원피스,277147934,color: 네이비,"이	*	정",2015-02-07 11:02,구매확정,42000,1,42000,1570
84,20778565640,로리 원피스,276469460,color: 소라,"김	*	주",2015-02-07 12:35,구매확정,58000,1,58000,2169
85,20778590190,로리 원피스,276469460,color: 소라,"이	*	애",2015-02-07 13:12,구매확정,58000,1,58000,2169
86,20778721200,슬림 슬랙스,273125800,color: 블랙 / size: S,"김	*	미",2015-02-07 16:22,반품,35000,1,35000,1309
87,20778927990,쟈가드 자켓,275180418,color: F,"김	*	경",2015-02-07 21:25,구매확정,81000,1,81000,3029
88,20778946050,체크 원피스,277147934,color: 아이보리,"김	*	은",2015-02-07 21:47,구매확정,42000,1,42000,1570
89,20778961770,쟈가드 자켓,275180418,color: F,"조	*	경",2015-02-07 22:03,구매확정,81000,1,81000,3029
90,20778978730,로리 원피스,276469460,color: 소라,"김	*	리",2015-02-07 22:21,구매확정,58000,1,58000,2169
91,20879220380,브래드 티셔츠,274744190,color: 머스타드,"황	*	아",2015-02-08 9:42,구매확정,33000,1,33000,1234
92,20879281470,쟈가드 자켓,275180418,color: F,"경	*	남",2015-02-08 11:34,구매확정,81000,1,81000,3029
93,20879527800,쟈가드 자켓,275180418,color: F,"김	*	진",2015-02-08 16:35,구매확정,81000,1,81000,3029
94,20879532320,로리 원피스,276469460,color: 소라,"위	*	원",2015-02-08 16:39,구매확정,58000,1,58000,2168
95,20879583610,파스텔 코트,274029967,color: 핑크,"백	*	민",2015-02-08 17:37,구매확정,79000,1,79000,2954
96,20879619720,레이스SK,263564454,사이즈: M,"강	*	정",2015-02-08 18:16,구매확정,60000,1,60000,2244
97,20879619720,앙고라 롱 폴라넥NT,263422790,color: ivory,"강	*	정",2015-02-08 18:16,구매확정,134000,1,134000,5011
98,20879776380,쟈가드 자켓,275180418,color: F,"김	*	내",2015-02-08 20:52,구매확정,81000,1,81000,3029
99,20879864820,쟈가드 자켓,275180418,color: F,"임	*	윤",2015-02-08 21:51,구매확정,81000,1,81000,3029
